"Curve","Ci","Photo","Tleaf","PARi","adult"
"25_3_3",236.7457337,14.47908923,24.99279594,1799.665771,0
"25_3_3",287.9997594,17.36503653,25.15657616,1800.407471,0
"25_3_3",499.6543455,22.83332666,25.15200615,1799.125244,0
"25_3_3",735.0358971,24.13623604,25.10373116,1799.928711,0
"25_3_3",1024.124289,24.26372049,24.88869858,1799.718872,0
"25_3_3",1311.840292,24.98662683,24.94677353,1800.171387,0
"25_3_3",1407.629752,24.56210749,24.98655891,1799.240967,0
"25_3_3",1596.921128,25.14930908,24.84681702,1799.824463,0
"25_3_3",282.7304138,16.33807482,24.87828827,1800.258057,0
"5_4_5",274.3161988,13.10640015,24.89472961,1799.309448,1
"5_4_5",50.78520176,-0.28335074,25.00801086,1799.817261,1
"5_4_5",85.64759864,1.427513061,25.55357742,1798.930908,1
"5_4_5",116.551432,3.44563464,25.42934036,1801.19751,1
"5_4_5",169.0980279,6.784635402,25.18338776,1799.252319,1
"5_4_5",239.9097406,10.2467896,25.34626007,1801.040405,1
"5_4_5",285.689083,13.19703763,25.54136467,1800.035034,1
"5_4_5",490.2796547,18.26357195,25.48728561,1800.563843,1
"5_4_5",705.2327215,21.38775936,25.52172279,1799.521973,1
"5_4_5",998.8028099,22.03858463,25.38446999,1801.403809,1
"5_4_5",1281.29967,23.41852956,25.34381866,1800.980591,1
"5_4_5",1393.248672,22.00738624,25.18844032,1800.217651,1
"5_4_5",1569.471994,23.72096114,25.3998661,1799.978394,1
"5_4_5",295.073771,12.39693438,25.2403717,1799.601807,1
"15_4_6",276.2799687,21.53879112,25.30796051,1800.501709,1
"15_4_6",50.60261787,-0.348429915,25.04649925,1801.016846,1
"15_4_6",80.02994883,3.254383994,24.93369865,1798.850586,1
"15_4_6",109.8896982,6.898484512,24.97371101,1800.953613,1
"15_4_6",162.510583,11.80244766,25.25950623,1799.432251,1
"15_4_6",231.322861,17.48319937,24.9140377,1799.838745,1
"15_4_6",281.2134952,21.22017351,24.96875,1800.389404,1
"15_4_6",495.7849391,26.35280455,24.94728279,1801.168213,1
"15_4_6",732.2612825,27.25434837,24.87299347,1801.248901,1
"15_4_6",1016.910292,28.28624558,24.91321182,1800.508545,1
"15_4_6",1310.051729,27.81689256,25.10111618,1800.287354,1
"15_4_6",1401.095827,28.79342397,24.997612,1800.368164,1
"15_4_6",1584.370731,29.99465225,24.9743824,1799.468384,1
"15_4_6",278.8054605,19.62077391,25.10580635,1799.128296,1
"20_5_5",287.8690652,21.85556968,25.10767937,1801.205566,0
"20_5_5",50.67674165,-0.410926218,25.03179932,1799.131958,0
"20_5_5",82.9907271,3.175875609,25.05900192,1799.824463,0
"20_5_5",118.3173245,6.018769079,25.05159378,1801.416382,0
"20_5_5",169.359434,11.90929939,25.00782204,1800.833618,0
"20_5_5",240.4222545,18.10212893,24.92863846,1800.903198,0
"20_5_5",292.6810119,22.0045979,24.75459099,1799.223755,0
"20_5_5",508.4176907,29.04054175,24.802742,1800.634644,0
"20_5_5",738.0189247,31.85090596,24.86178589,1800.50293,0
"20_5_5",1035.994083,30.3913494,25.01103401,1798.658081,0
"20_5_5",1324.947406,31.54332556,24.96825027,1800.085815,0
"20_5_5",1420.763244,32.29127604,24.8643856,1801.211548,0
"20_5_5",1618.11133,31.18020258,24.93862534,1799.17749,0
"20_5_5",297.3972982,19.99150727,25.09161949,1800.573364,0
"35_3_5",249.5426393,18.3305872,24.82530212,1799.61792,0
"35_3_5",47.88599558,-0.01988777,25.11169434,1801.435181,0
"35_3_5",73.82702903,3.101159334,25.08926773,1799.341919,0
"35_3_5",102.3040026,5.716133489,25.0479126,1799.474121,0
"35_3_5",149.5552803,9.99340468,25.04218674,1799.437988,0
"35_3_5",211.2852803,15.12179444,25.05043983,1798.446289,0
"35_3_5",256.3460979,18.34048063,25.08066368,1799.776245,0
"35_3_5",447.3802442,24.8345823,25.08166885,1799.86499,0
"35_3_5",665.9931029,26.83575911,25.06179047,1801.295776,0
"35_3_5",930.1825382,27.95463634,25.38680267,1799.43689,0
"35_3_5",1197.982654,28.92981373,25.60343933,1799.557739,0
"35_3_5",1266.069153,29.78981738,25.72470284,1799.591064,0
"35_3_5",1433.825471,29.81748449,25.78979111,1801.169556,0
