"Curve","Ci","Photo","Tleaf","adult","PARi"
"1000_1_5",261.9568073,20.82980502,23.87227821,1,1800
"1000_1_5",46.89579243,0.171309189,24.0733757,1,1800
"1000_1_5",76.2992713,3.60761362,24.22182274,1,1800
"1000_1_5",107.0463204,6.388576317,24.43078232,1,1800
"1000_1_5",152.3831726,11.88125613,24.58962059,1,1800
"1000_1_5",217.4936543,17.49430261,24.6527729,1,1800
"1000_1_5",263.2233076,21.29763768,24.7758503,1,1800
"1000_1_5",466.222033,28.4446718,24.71090126,1,1800
"1000_1_5",693.6584275,31.23132148,24.65968704,1,1800
"1000_1_5",975.2619934,32.30366179,24.82734299,1,1800
"1000_1_5",1262.156172,33.28467717,24.92072105,1,1800
"1000_1_5",1349.856822,34.13262099,25.15132523,1,1800
"1000_1_5",1544.017945,33.82069199,24.95459366,1,1800
"1000_1_5",263.2240889,19.95162865,24.79598236,1,1800
"5_1_8",260.8812855,14.39790294,25.16853523,1,1800
"5_1_8",49.25114525,-0.039224623,24.7442112,1,1800
"5_1_8",80.41282086,1.958123059,24.68816948,1,1800
"5_1_8",113.4687923,4.038570709,24.67709351,1,1800
"5_1_8",162.0764878,7.922323452,24.84353256,1,1800
"5_1_8",225.6093204,12.59564419,24.91326714,1,1800
"5_1_8",271.5064133,16.08428209,24.95568657,1,1800
"5_1_8",479.0791356,21.2479764,24.93323326,1,1800
"5_1_8",709.5175009,22.96675705,24.97600174,1,1800
"5_1_8",992.1730523,24.13861517,24.78134727,1,1800
"5_1_8",1274.660614,24.16614399,25.0883503,1,1800
"5_1_8",1384.3716,22.92554904,24.91863632,1,1800
"5_1_8",1557.759159,24.32085726,25.18650055,1,1800
"5_1_8",271.6166431,14.51043526,25.15330124,1,1800
"10_2_8",344.7215233,17.92440115,24.51592827,1,1800
"10_2_8",53.2312866,-0.440108165,24.55872536,1,1800
"10_2_8",79.47366806,2.482463017,24.58291626,1,1800
"10_2_8",116.7468842,5.453171191,24.71278191,1,1800
"10_2_8",188.0080098,9.709987946,24.73687172,1,1800
"10_2_8",278.446616,14.82257659,24.67508316,1,1800
"10_2_8",343.0325866,17.79821548,24.76596069,1,1800
"10_2_8",588.0807804,23.89253256,24.83785439,1,1800
"10_2_8",833.2554681,26.56744092,24.91185188,1,1800
"10_2_8",1136.992223,25.97878899,24.87313652,1,1800
"10_2_8",1436.863695,26.61106569,24.95913696,1,1800
"10_2_8",1536.46772,27.40187839,25.04541588,1,1800
"10_2_8",1731.763997,28.67520688,25.0756588,1,1800
"10_2_8",344.7483862,16.79337474,24.9409771,1,1800
"25_3_3",289.1570869,17.33931057,25.28914261,0,1800
"25_3_3",50.98590941,-0.378334938,25.10390854,0,1800
"25_3_3",81.48405446,2.695741232,24.93273354,0,1800
"25_3_3",114.0401793,5.314064062,24.91334724,0,1800
"25_3_3",169.1890834,9.383817901,24.9777565,0,1800
"25_3_3",236.7457337,14.47908923,24.99279594,0,1800
"25_3_3",287.9997594,17.36503653,25.15657616,0,1800
"25_3_3",499.6543455,22.83332666,25.15200615,0,1800
"25_3_3",735.0358971,24.13623604,25.10373116,0,1800
"25_3_3",1024.124289,24.26372049,24.88869858,0,1800
"25_3_3",1311.840292,24.98662683,24.94677353,0,1800
"25_3_3",1407.629752,24.56210749,24.98655891,0,1800
"25_3_3",1596.921128,25.14930908,24.84681702,0,1800
"25_3_3",282.7304138,16.33807482,24.87828827,0,1800
"5_4_5",274.3161988,13.10640015,24.89472961,1,1800
"5_4_5",50.78520176,-0.28335074,25.00801086,1,1800
"5_4_5",85.64759864,1.427513061,25.55357742,1,1800
"5_4_5",116.551432,3.44563464,25.42934036,1,1800
"5_4_5",169.0980279,6.784635402,25.18338776,1,1800
"5_4_5",239.9097406,10.2467896,25.34626007,1,1800
"5_4_5",285.689083,13.19703763,25.54136467,1,1800
"5_4_5",490.2796547,18.26357195,25.48728561,1,1800
"5_4_5",705.2327215,21.38775936,25.52172279,1,1800
"5_4_5",998.8028099,22.03858463,25.38446999,1,1800
"5_4_5",1281.29967,23.41852956,25.34381866,1,1800
"5_4_5",1393.248672,22.00738624,25.18844032,1,1800
"5_4_5",1569.471994,23.72096114,25.3998661,1,1800
"5_4_5",295.073771,12.39693438,25.2403717,1,1800
"15_4_6",276.2799687,21.53879112,25.30796051,1,1800
"15_4_6",50.60261787,-0.348429915,25.04649925,1,1800
"15_4_6",80.02994883,3.254383994,24.93369865,1,1800
"15_4_6",109.8896982,6.898484512,24.97371101,1,1800
"15_4_6",162.510583,11.80244766,25.25950623,1,1800
"15_4_6",231.322861,17.48319937,24.9140377,1,1800
"15_4_6",281.2134952,21.22017351,24.96875,1,1800
"15_4_6",495.7849391,26.35280455,24.94728279,1,1800
"15_4_6",732.2612825,27.25434837,24.87299347,1,1800
"15_4_6",1016.910292,28.28624558,24.91321182,1,1800
"15_4_6",1310.051729,27.81689256,25.10111618,1,1800
"15_4_6",1401.095827,28.79342397,24.997612,1,1800
"15_4_6",1584.370731,29.99465225,24.9743824,1,1800
"15_4_6",278.8054605,19.62077391,25.10580635,1,1800
"20_5_5",287.8690652,21.85556968,25.10767937,0,1800
"20_5_5",50.67674165,-0.410926218,25.03179932,0,1800
"20_5_5",82.9907271,3.175875609,25.05900192,0,1800
"20_5_5",118.3173245,6.018769079,25.05159378,0,1800
"20_5_5",169.359434,11.90929939,25.00782204,0,1800
"20_5_5",240.4222545,18.10212893,24.92863846,0,1800
"20_5_5",292.6810119,22.0045979,24.75459099,0,1800
"20_5_5",508.4176907,29.04054175,24.802742,0,1800
"20_5_5",738.0189247,31.85090596,24.86178589,0,1800
"20_5_5",1035.994083,30.3913494,25.01103401,0,1800
"20_5_5",1324.947406,31.54332556,24.96825027,0,1800
"20_5_5",1420.763244,32.29127604,24.8643856,0,1800
"20_5_5",1618.11133,31.18020258,24.93862534,0,1800
"20_5_5",297.3972982,19.99150727,25.09161949,0,1800
"35_3_5",249.5426393,18.3305872,24.82530212,0,1800
"35_3_5",47.88599558,-0.01988777,25.11169434,0,1800
"35_3_5",73.82702903,3.101159334,25.08926773,0,1800
"35_3_5",102.3040026,5.716133489,25.0479126,0,1800
"35_3_5",149.5552803,9.99340468,25.04218674,0,1800
"35_3_5",211.2852803,15.12179444,25.05043983,0,1800
"35_3_5",256.3460979,18.34048063,25.08066368,0,1800
"35_3_5",447.3802442,24.8345823,25.08166885,0,1800
"35_3_5",665.9931029,26.83575911,25.06179047,0,1800
"35_3_5",930.1825382,27.95463634,25.38680267,0,1800
"35_3_5",1197.982654,28.92981373,25.60343933,0,1800
"35_3_5",1266.069153,29.78981738,25.72470284,0,1800
"35_3_5",1433.825471,29.81748449,25.78979111,0,1800
"15_5_4",283.1462831,19.13257467,24.56839371,1,1800
"15_5_4",48.83489488,0.000641638,24.51845169,1,1800
"15_5_4",80.39241222,3.064856203,24.67001915,1,1800
"15_5_4",110.7132591,6.166434511,24.63583755,1,1800
"15_5_4",161.6338719,10.97471868,24.77216148,1,1800
"15_5_4",228.0598721,16.18214255,24.94222832,1,1800
"15_5_4",279.3421296,19.1928415,24.91474915,1,1800
"15_5_4",495.0539312,23.95643981,24.84137726,1,1800
"15_5_4",731.2363603,25.35451702,24.85616875,1,1800
"15_5_4",1019.296297,26.18564414,24.89962959,1,1800
"15_5_4",1305.743579,26.96561597,24.95549583,1,1800
"15_5_4",1398.949586,27.84348966,25.2569809,1,1800
"15_5_4",1587.474176,28.5629319,25.3305645,1,1800
"15_5_4",279.5841801,18.29469089,25.40459061,1,1800
"20_6_4",238.0501162,18.63505562,24.91727829,0,1800
"20_6_4",50.51559663,-0.180315809,24.7301178,0,1800
"20_6_4",74.3075857,2.861219009,24.74123383,0,1800
"20_6_4",100.0802338,5.813636055,24.83874512,0,1800
"20_6_4",144.5777504,10.26983188,24.9947567,0,1800
"20_6_4",203.7516093,15.38577021,25.17257118,0,1800
"20_6_4",247.9751005,18.95087151,25.13823318,0,1800
"20_6_4",442.1828226,25.2406401,25.08430672,0,1800
"20_6_4",662.3727164,27.56249766,25.07608795,0,1800
"20_6_4",935.4275626,28.80881231,25.04064941,0,1800
"20_6_4",1211.845203,28.95296029,24.93470955,0,1800
"20_6_4",1294.93836,29.36825106,24.98941994,0,1800
"20_6_4",1478.138399,29.34292126,24.97073746,0,1800
"25_6_7",227.2267137,20.40212532,21.72827721,0,1800
"25_6_7",48.76920912,0.093661637,21.65854263,0,1800
"25_6_7",71.25630418,3.405748201,21.63571739,0,1800
"25_6_7",97.3129616,6.628385178,21.6734333,0,1800
"25_6_7",140.6789196,11.86356271,21.64377403,0,1800
"25_6_7",199.5153051,17.67296076,21.62507057,0,1800
"25_6_7",248.4269963,21.37212508,21.62086678,0,1800
"25_6_7",453.0468644,28.20999583,21.6965313,0,1800
"25_6_7",681.0211288,31.02700083,21.74232864,0,1800
"25_6_7",964.040272,32.43199801,21.73529816,0,1800
"25_6_7",1248.383134,33.29516384,21.71815872,0,1800
"25_6_7",1341.104017,33.62391724,21.71523857,0,1800
"25_6_7",1533.925214,33.73825002,21.67612457,0,1800
"25_6_7",252.6671212,20.49512779,24.32422638,0,1800
"1000_7_2",231.8626174,16.86116602,25.29460335,1,1800
"1000_7_2",51.7777059,-0.271011774,25.2144165,1,1800
"1000_7_2",72.94125172,2.502602025,25.05516243,1,1800
"1000_7_2",96.84983319,5.289051967,24.92747116,1,1800
"1000_7_2",138.2163573,9.424372715,24.88741302,1,1800
"1000_7_2",192.3563264,14.22033294,24.82927322,1,1800
